candidate_index,gradient_rank,gradient_group,gradient_cosine,gradient_dot,predicted_reference_loss_change_per_unit_step,candidate_loss,candidate_gradient_norm,total_tokens_before_truncation,completion_tokens_before_truncation,completion_tokens_kept,completion_tokens_removed,eos_in_kept_completion,problem_sha256
0,82,GradLow50,0.04918450401423849,0.05786625295877457,-0.05786625295877457,1.5957452058792114,0.9374455754059243,321,218,218,0,True,73429d562982300e6643d83a84428a22e0656773b67dad037d2de2f8bc0b45b9
1,97,GradLow50,-0.0005181972980999813,-0.0006050625815987587,0.0006050625815987587,1.5154694318771362,0.930366684755137,256,161,161,0,True,3f23a7d4df7cb484dc2414bb2632f29e51a580a202d5968f1dbca00ed0f210bc
2,86,GradLow50,0.04219110579569838,0.04134988784790039,-0.04134988784790039,1.4529287815093994,0.7809125934611704,371,246,246,0,True,9eea4e53dec08963ef76fdee76346277a0ae3356c2c1bb67223507ebd6340740
3,15,GradHigh50,0.12235364471891895,0.40138792991638184,-0.40138792991638184,3.169752836227417,2.6139447064261274,135,17,17,0,True,4ed90b091532ab4071ce410731d178b500525d6700568f1e94035e7694c22d23
4,72,GradLow50,0.06132341355126723,0.24924752116203308,-0.24924752116203308,2.8921163082122803,3.2385717613676297,112,22,22,0,True,d38bacc8724a241927dec39e1459b3c17295f79d244c7ec4a518303968c9dc01
5,78,GradLow50,0.05853763706871891,0.25126174092292786,-0.25126174092292786,4.404425144195557,3.420110796421988,141,12,12,0,True,16f83fb4320c9faf79cc5ef0cf235beb70b19a06e9e4dc4f03dd9d0ca78d5e75
6,92,GradLow50,0.01793777483837354,0.016271401196718216,-0.016271401196718216,0.9286419153213501,0.7227787635671722,380,259,259,0,True,cf2595dad6a3ad5bbef4cb35fdf9d90cf2ea8ea8cfa675e9c0af771abd2dea12
7,62,GradLow50,0.07437847183902244,0.23362818360328674,-0.23362818360328674,2.9581260681152344,2.502804804025764,188,18,18,0,True,99c93669d063c21f3c4160988005ee0b93ca9cc212e4815db446c28f9bbff151
8,7,GradHigh50,0.13672821397698923,0.4922393560409546,-0.4922393560409546,4.063154220581055,2.8685814901489204,187,13,13,0,True,a13430e732d2c1e663238de0e34daf75abd640df18ff2ab97d0d55479204c2d1
9,99,GradLow50,-0.004241725214124218,-0.002141266129910946,0.002141266129910946,1.0689345598220825,0.4022324602595478,640,508,508,0,True,699ab79580f3d4e07173fdf9ff3b39ab4d4aa99e3efdf92ea650753c03c27a4d
10,77,GradLow50,0.05878341358277535,0.11621019244194031,-0.11621019244194031,2.4536476135253906,1.5752098428111603,242,102,102,0,True,09296cd5e0fc1cb5a7c241379aa53704fca1c2d3cf3e106fdf539f2f88d050c1
11,6,GradHigh50,0.13868169371933353,0.4115169048309326,-0.4115169048309326,3.081671714782715,2.364381442644829,181,18,18,0,True,3097703f5bcc130a683ad04b50f35470e76b8613faf2a78c10ce14fbf0421795
